0:0:0:0:0:0:0:1 - - [25/May/2020:14:28:20 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:14:28:38 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:14:29:16 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:14:29:20 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:14:29:31 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:14:29:55 +0530] "GET /Servlet/update?actionUpdate=yes&id=6&MacAddress=rw&IPAddress=eqweqwe&Model=qwewqeqwewq&Firmware=werwer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:29:57 +0530] "GET /Servlet/service HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [25/May/2020:14:29:59 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [25/May/2020:14:30:15 +0530] "GET /Servlet/update?actionUpdate=yes&id=6&MacAddress=00-00-00-00-00&IPAddress=255.255.255.251&Model=test&Firmware=.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:30:16 +0530] "GET /Servlet/service HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [25/May/2020:14:30:20 +0530] "GET /Servlet/edit?id=11&actionEdit=edit HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [25/May/2020:14:30:42 +0530] "GET /Servlet/update?actionUpdate=yes&id=11&MacAddress=11-11-11-11-11&IPAddress=121.121.121.121&Model=Test2&Firmware=test.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:30:43 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:30:55 +0530] "GET /Servlet/list HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [25/May/2020:14:32:03 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:32:17 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:32:29 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:32:37 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:32:52 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:32:57 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:33:14 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:33:44 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:33:54 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:34:05 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:34:10 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:34:14 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:34:30 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:36:07 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:36:18 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:36:25 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:36:50 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:37:23 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:38:52 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:38:56 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:39:04 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:39:09 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:39:26 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:39:51 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:39:55 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:40:22 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:40:40 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:40:47 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:09 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:11 +0530] "GET /Servlet/edit?id=11&actionEdit=edit HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:15 +0530] "GET /Servlet/update?actionUpdate=yes&id=11&MacAddress=11-11-11-11-00&IPAddress=121.121.121.121&Model=Test2&Firmware=test.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:16 +0530] "GET /Servlet/update?actionUpdate=yes&id=11&MacAddress=11-11-11-11-00&IPAddress=121.121.121.121&Model=Test2&Firmware=test.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:18 +0530] "GET /Servlet/update?actionUpdate=yes&id=11&MacAddress=11-11-11-11-00&IPAddress=121.121.121.121&Model=Test2&Firmware=test.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:24 +0530] "GET /Servlet/edit?id=11&actionEdit=edit HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:25 +0530] "GET /Servlet/update?actionUpdate=yes&id=11&MacAddress=11-11-11-11-00&IPAddress=121.121.121.121&Model=Test2&Firmware=test.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:26 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:41:34 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:43:28 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:44:06 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:44:11 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:44:17 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:44:47 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:45:05 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:45:29 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:45:37 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:45:47 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:45:51 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:46:02 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:46:08 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:46:24 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:46:32 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:46:37 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:46:52 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:46:59 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:47:04 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:47:56 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:48:04 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:48:08 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:49:03 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [25/May/2020:14:49:04 +0530] "GET /Servlet/update?actionUpdate=yes&id=6&MacAddress=00-00-00-00-00&IPAddress=255.255.255.251&Model=test&Firmware=.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:49:06 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:49:17 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
